Month,Year,solar_I_BB(J/m2),monthly_lunar_I_BB(J/m2),monthly_ALAN_I_BB(J/m2),monthly_twilight_I_BB(J/m2),monthly_solar_I_Red(J/m2),monthly_solar_I_Green(J/m2),monthly_solar_I_Blue(J/m2),monthly_lunar_I_Red(J/m2),monthly_lunar_I_Green(J/m2),monthly_lunar_I_Blue(J/m2),monthly_ALAN_I_Red(J/m2),monthly_ALAN_I_Green(J/m2),monthly_ALAN_I_Blue(J/m2),monthly_twilight_I_Red(J/m2),monthly_twilight_I_Green(J/m2),monthly_twilight_I_Blue(J/m2),monthly_solar_I_BB_datum(J/m2),monthly_lunar_I_BB_datum(J/m2),monthly_ALAN_I_BB_datum(J/m2),monthly_twilight_I_BB_datum(J/m2),monthly_solar_I_Red_datum(J/m2),monthly_solar_I_Green_datum(J/m2),monthly_solar_I_Blue_datum(J/m2),monthly_lunar_I_Red_datum(J/m2),monthly_lunar_I_Green_datum(J/m2),monthly_lunar_I_Blue_datum(J/m2),monthly_ALAN_I_Red_datum(J/m2),monthly_ALAN_I_Green_datum(J/m2),monthly_ALAN_I_Blue_datum(J/m2),monthly_twilight_I_Red_datum(J/m2),monthly_twilight_I_Green_datum(J/m2),monthly_twilight_I_Blue_datum(J/m2)
Jan,2020,62676347.80657132,156.65125522877136,381.99736466012246,228102.49548106297,23285719.345568646,14347464.799004462,20285346.66318404,55.18256365973891,36.06768095903959,51.45235358210136,59.85038430499095,60.923877953504714,105.42757880716516,137559.8663635159,159516.5071655603,121759.59864624188,37956674.70249614,97.02050155366523,120.33780339619072,109916.03350961448,11403511.812145235,10706799.05666779,13032589.841190442,27.760259313906584,27.230065819769624,33.890317798571836,23.914119550411815,42.42693990684192,60.80179948353492,46893.95135578632,105376.75428455773,64575.912129117554
Feb,2020,107251045.52953997,128.20981412562816,356.5397131451126,189767.87046380766,39237958.84759008,24660172.468100496,34502390.33629283,45.22750509471513,29.517900986018443,42.062742993299445,50.41324867894022,51.31747515778797,88.803886720924,114394.72144211363,132892.0329480696,101252.73238694743,68054186.44998068,83.39289880565101,107.19310552960548,90178.32609407717,20026231.11243315,19089713.306228228,23607403.75516829,23.91625387300691,23.131609394295424,29.45435762497701,21.270184241285605,37.282610533699554,55.16758210941168,36337.47757219062,88551.99243710541,54962.31315309608
Mar,2020,197315763.0829466,94.72243259215526,381.99736466012246,196993.652699655,70848160.15698488,45465410.525158584,64000575.28145933,33.5776432158196,21.80031570360988,30.968589593565603,46.34370320450941,47.174937149226096,81.63530574693152,118708.69198914159,137989.97474257217,105095.41747049722,127230168.17550282,64.92066259641494,104.96736709630812,92434.55355418005,36578090.63339996,36093973.46177275,44155902.71522595,19.082561968200825,17.832328932242763,22.502536357781352,21.362575425604156,36.102574304203124,52.983454501152785,35774.02034594136,94168.46444191957,55887.39854686263
Apr,2020,274951033.34565485,62.54033538181988,369.2685389026176,204461.472867564,97483251.27489169,63380110.70102005,89970503.63007236,22.361689988489992,14.37834301564115,20.337184440138792,36.80132071274063,37.46139974983964,64.82621932515607,123184.28578745564,143309.41975532798,109049.30273353473,172184872.6622135,44.63919269396668,85.83217969833476,100056.28318230186,48541333.60960714,49730695.39137555,59597731.01466487,13.659056653466179,12.034526292922045,15.087043485416922,18.01501771837895,29.161589326286087,42.34516668975894,40898.68286985715,100080.16994620414,58340.07269458156
May,2020,348880744.33659184,37.699520649411944,381.99736466012246,247406.03156175325,122919283.21715185,80423981.736341,114746005.29360595,13.646246178459625,8.644481989262134,12.192698675797685,30.276015038222276,30.81905432231803,53.331770522030205,149013.1171565857,173570.60059193752,131889.6865201663,229858282.2558365,29.120737158174517,77.17689587616277,150387.0327197223,58930550.88695842,66378589.01499412,89559678.95962971,8.838492105866411,7.651266224828121,10.411201083355477,15.300292576400063,25.680207187226976,42.136461300299835,61532.88218198243,138248.80182865192,98184.5500147145
Jun,2020,363038824.6364241,21.00667237418806,369.2685389026176,274213.02429968864,127644252.52762604,83693331.98018934,119622865.0752661,7.736674240295363,4.786389725562438,6.778919927194695,24.943507175175014,25.39090106971972,43.938457521626276,164982.5082014763,192584.43805780355,146124.19909428916,226276424.0498282,16.794035179223393,60.968404902179174,160084.09271623264,59330053.45086206,65689640.91772058,85287950.05243334,5.479790311173493,4.252125745979645,5.7415812437945135,12.455567793426942,20.271924587075667,32.09599855702632,69071.0139214985,146320.11023715083,99331.40303363284
Jul,2020,358904791.75967264,19.206987513468626,381.99736466012246,258377.08285240523,126308424.27566624,82735779.92584935,118158953.9168282,7.104240520154168,4.362525894995414,6.216621365612094,28.100913146716156,28.604939179810827,49.50028758765492,155571.33744426657,181457.12729998544,137679.08483656577,222408230.06188095,16.061001464007372,67.94629770964795,151833.22407882824,60008467.6249408,65416752.18551608,79382500.88077351,5.407892413021005,3.992828943197571,5.331014244330179,14.140291868403589,22.941652488600347,34.09927906107602,68314.00705199836,139810.1115586516,88380.33454619166
Aug,2020,303463334.01761985,30.822326872203824,381.99736466012246,221750.52372831444,107290714.18516856,69955864.54833156,99522054.98286447,11.267805265121208,7.037978163254634,9.970074023297224,35.11737086125202,35.747246091124396,61.85990995660745,133604.14490599983,155474.99326308433,118251.80513303887,188641942.95201543,25.80525191101735,85.0619258202826,121274.0395218952,49302796.2253977,54728032.235859595,71538544.50956514,8.398972673650952,6.426842957721264,8.79130693857969,17.103947177482837,28.376764942355592,45.345287045759974,48447.521555947795,114504.5188899538,78053.4362800089
Sep,2020,216467279.1675135,56.44773222587057,369.2685389026176,192217.95398065227,77304688.32617301,49893400.56971602,70462127.63298208,20.343635931431635,12.959151713284855,18.283106859031488,41.88825255577913,42.63957226054198,73.78694554264665,115833.49371547031,134686.8223271584,102533.83523855312,130799905.39328897,43.753793520404834,94.25200782713047,87308.90486667978,36299139.74327953,38193745.35152081,45833449.29274508,13.812507477573998,11.330017930532494,14.693404480314154,19.234147521803756,32.41071877471077,47.38525448232514,33351.38987521925,90078.44789702843,52669.60153025978
Oct,2020,139572574.55683863,109.46172059141239,381.99736466012246,199080.83040294173,50689288.834845334,32129625.08430371,45004853.23608929,38.97113495022122,25.18316069831119,35.68376324850806,51.2903058932572,52.21026352170216,90.34883951704305,119999.63910491674,139422.26954221967,106217.43419390233,85706812.9264023,78.24125490187389,109.00213958781902,85263.26038237155,24011472.91568783,24614856.90331182,30681569.96228639,23.224152666603555,20.944315241438083,27.42712381664129,21.025570484258413,38.23899187592078,57.64391723171499,30030.2035746893,89478.71940742376,55406.41719841349
Nov,2020,73312979.76989953,138.6884958295743,369.2685389026176,202219.369222277,27123346.57530158,16807958.511678208,23620411.039415363,48.93309093580649,31.928933178400722,45.49807125648231,56.13166171628694,57.13845529050852,98.87697895162032,121899.80100745443,141709.9621148206,107873.22873544612,43568211.878606126,90.13548510438113,112.2060790908311,91835.38021702116,13189542.434348151,12735117.354588244,14101334.838732695,26.826464577340186,25.327888958260978,29.835954550430586,22.92937175849284,40.8919473543222,52.76737270040208,39199.63271174322,94302.78338742314,49582.07472827879
Dec,2020,49792738.3444709,194.35055899403838,381.8647727251485,249092.2413942637,18556137.51791957,11381162.557974022,16253314.521060055,68.33319154666552,44.74844545514345,63.93414094931052,61.63958102219761,62.74516621588967,108.57928251124807,150287.90815641673,173856.90011770852,133041.93478830624,32141257.176607817,128.3812541863873,135.96165499266905,135528.59872422932,8981208.629153851,9112804.10409008,12177581.639376432,34.13251317277002,36.23473671781924,48.768210369490994,24.7267850189072,47.9259092667898,76.52007455800766,52792.86538091937,128432.84277599282,89776.55810435858
Tot,2020,2578477040.2916217,1111.9370148021117,4646.021401489306,2745054.2568744263,918168013.340706,593961579.7790506,843243367.9729242,394.7961301028846,255.69851626924032,363.67218615881546,538.0921421277558,547.7435170286374,947.8594394749701,1654033.1416222912,1923537.2919311465,1464163.2606237973,1614948178.9417048,757.6041135105454,1192.7748432240458,1417029.6077393335,439831767.06064755,467313488.1750967,587352567.7265347,221.9197147420959,207.53773852005077,265.4753395199098,237.6652092348467,413.08044714466376,615.7859394687838,579147.9714531135,1369372.0648366679,870042.216337992
