Wavelength,LED  (W/m-2)
200,0.00E+00
201,0.00E+00
202,0.00E+00
203,0.00E+00
204,0.00E+00
205,0.00E+00
206,0.00E+00
207,0.00E+00
208,0.00E+00
209,0.00E+00
210,0.00E+00
211,0.00E+00
212,0.00E+00
213,0.00E+00
214,0.00E+00
215,0.00E+00
216,0.00E+00
217,0.00E+00
218,0.00E+00
219,0.00E+00
220,0.00E+00
221,0.00E+00
222,0.00E+00
223,0.00E+00
224,0.00E+00
225,0.00E+00
226,0.00E+00
227,0.00E+00
228,0.00E+00
229,0.00E+00
230,0.00E+00
231,0.00E+00
232,0.00E+00
233,0.00E+00
234,0.00E+00
235,0.00E+00
236,0.00E+00
237,0.00E+00
238,0.00E+00
239,0.00E+00
240,0.00E+00
241,0.00E+00
242,0.00E+00
243,0.00E+00
244,0.00E+00
245,0.00E+00
246,0.00E+00
247,0.00E+00
248,0.00E+00
249,0.00E+00
250,-6.04E-05
251,-1.31E-04
252,-1.66E-04
253,-1.43E-04
254,4.48E-05
255,-1.12E-04
256,-9.03E-05
257,-1.40E-05
258,-5.29E-05
259,-2.25E-04
260,-2.29E-04
261,-2.30E-04
262,-1.35E-04
263,-9.02E-05
264,-9.20E-05
265,5.49E-05
266,-2.36E-04
267,-2.25E-04
268,-2.05E-05
269,-1.60E-04
270,6.45E-05
271,-7.32E-05
272,-3.43E-05
273,-2.05E-04
274,-3.04E-04
275,-1.74E-05
276,-6.20E-05
277,-3.24E-04
278,5.38E-05
279,-1.17E-04
280,-3.77E-04
281,-5.93E-05
282,6.83E-05
283,-1.56E-05
284,-1.85E-04
285,-7.70E-05
286,-3.35E-05
287,-2.10E-04
288,1.19E-05
289,-1.24E-04
290,-1.67E-04
291,6.62E-05
292,-4.64E-05
293,-7.45E-05
294,-1.08E-04
295,-1.50E-04
296,-1.68E-05
297,-4.44E-05
298,-5.81E-05
299,-1.27E-04
300,-3.33E-05
301,-1.04E-04
302,-4.98E-05
303,-5.60E-05
304,-1.06E-04
305,-4.26E-05
306,-1.30E-04
307,3.11E-05
308,-2.39E-05
309,-9.60E-05
310,-6.35E-05
311,-7.28E-05
312,-1.69E-04
313,7.35E-06
314,-5.18E-05
315,-1.95E-04
316,-7.51E-05
317,-7.73E-05
318,-1.97E-05
319,-1.21E-04
320,-1.30E-04
321,-6.34E-05
322,-1.59E-04
323,-6.26E-05
324,-4.32E-05
325,-3.08E-05
326,3.14E-05
327,-6.69E-05
328,-1.25E-04
329,-2.49E-05
330,-2.78E-05
331,-2.82E-05
332,-1.62E-04
333,-6.27E-05
334,-1.68E-04
335,-9.28E-05
336,-1.34E-04
337,-6.86E-05
338,-2.51E-05
339,-6.15E-05
340,4.87E-05
341,-2.00E-04
342,-9.15E-05
343,-6.23E-05
344,-1.02E-04
345,-6.82E-05
346,-4.47E-05
347,-6.33E-05
348,-9.10E-05
349,5.72E-05
350,-4.57E-05
351,-6.14E-05
352,-1.80E-05
353,7.80E-06
354,-4.50E-05
355,1.55E-06
356,-4.27E-05
357,-3.89E-05
358,-8.83E-05
359,-9.65E-05
360,-5.41E-05
361,-1.33E-04
362,-3.58E-05
363,2.90E-05
364,-1.04E-04
365,-1.30E-04
366,-9.10E-06
367,-1.92E-05
368,-5.63E-05
369,-5.34E-05
370,-4.04E-05
371,2.70E-06
372,-1.54E-05
373,1.93E-05
374,-4.38E-05
375,-3.06E-05
376,-5.50E-05
377,-5.18E-05
378,-6.65E-05
379,-1.38E-05
380,-3.10E-06
381,-4.01E-05
382,-1.93E-05
383,2.84E-05
384,-3.05E-05
385,-3.17E-05
386,-3.51E-05
387,-6.09E-05
388,-7.05E-06
389,-7.05E-05
390,-7.34E-05
391,-6.45E-05
392,-3.01E-05
393,1.60E-05
394,4.87E-05
395,-8.20E-06
396,-5.48E-05
397,-5.70E-05
398,-5.23E-05
399,-5.55E-06
400,3.07E-05
401,7.25E-05
402,5.60E-05
403,1.17E-04
404,9.11E-05
405,7.84E-05
406,1.33E-04
407,1.88E-04
408,2.07E-04
409,2.75E-04
410,3.41E-04
411,4.19E-04
412,5.66E-04
413,7.27E-04
414,8.87E-04
415,1.07E-03
416,1.29E-03
417,1.56E-03
418,1.77E-03
419,2.20E-03
420,2.68E-03
421,3.23E-03
422,3.80E-03
423,4.31E-03
424,4.91E-03
425,5.87E-03
426,6.87E-03
427,7.77E-03
428,8.53E-03
429,9.57E-03
430,1.08E-02
431,1.21E-02
432,1.35E-02
433,1.50E-02
434,1.62E-02
435,1.77E-02
436,1.96E-02
437,2.16E-02
438,2.33E-02
439,2.49E-02
440,2.66E-02
441,2.88E-02
442,3.08E-02
443,3.24E-02
444,3.38E-02
445,3.49E-02
446,3.56E-02
447,3.61E-02
448,3.62E-02
449,3.59E-02
450,3.50E-02
451,3.39E-02
452,3.22E-02
453,3.05E-02
454,2.88E-02
455,2.69E-02
456,2.54E-02
457,2.33E-02
458,2.14E-02
459,1.98E-02
460,1.86E-02
461,1.74E-02
462,1.60E-02
463,1.48E-02
464,1.39E-02
465,1.31E-02
466,1.24E-02
467,1.15E-02
468,1.08E-02
469,1.02E-02
470,9.67E-03
471,9.05E-03
472,8.55E-03
473,8.03E-03
474,7.66E-03
475,7.34E-03
476,6.99E-03
477,6.65E-03
478,6.35E-03
479,6.20E-03
480,5.98E-03
481,5.82E-03
482,5.64E-03
483,5.40E-03
484,5.40E-03
485,5.35E-03
486,5.32E-03
487,5.30E-03
488,5.27E-03
489,5.34E-03
490,5.38E-03
491,5.48E-03
492,5.62E-03
493,5.84E-03
494,5.99E-03
495,6.25E-03
496,6.42E-03
497,6.76E-03
498,7.08E-03
499,7.34E-03
500,7.69E-03
501,8.08E-03
502,8.54E-03
503,8.92E-03
504,9.28E-03
505,9.51E-03
506,1.01E-02
507,1.06E-02
508,1.10E-02
509,1.13E-02
510,1.18E-02
511,1.22E-02
512,1.27E-02
513,1.30E-02
514,1.35E-02
515,1.37E-02
516,1.41E-02
517,1.45E-02
518,1.49E-02
519,1.51E-02
520,1.56E-02
521,1.59E-02
522,1.61E-02
523,1.64E-02
524,1.66E-02
525,1.69E-02
526,1.72E-02
527,1.73E-02
528,1.76E-02
529,1.78E-02
530,1.79E-02
531,1.81E-02
532,1.82E-02
533,1.84E-02
534,1.85E-02
535,1.87E-02
536,1.88E-02
537,1.88E-02
538,1.88E-02
539,1.91E-02
540,1.91E-02
541,1.90E-02
542,1.92E-02
543,1.92E-02
544,1.93E-02
545,1.93E-02
546,1.94E-02
547,1.93E-02
548,1.94E-02
549,1.94E-02
550,1.94E-02
551,1.94E-02
552,1.95E-02
553,1.94E-02
554,1.93E-02
555,1.94E-02
556,1.93E-02
557,1.93E-02
558,1.93E-02
559,1.92E-02
560,1.92E-02
561,1.92E-02
562,1.92E-02
563,1.91E-02
564,1.91E-02
565,1.90E-02
566,1.90E-02
567,1.90E-02
568,1.89E-02
569,1.88E-02
570,1.88E-02
571,1.86E-02
572,1.86E-02
573,1.85E-02
574,1.85E-02
575,1.84E-02
576,1.83E-02
577,1.82E-02
578,1.81E-02
579,1.80E-02
580,1.79E-02
581,1.78E-02
582,1.77E-02
583,1.76E-02
584,1.74E-02
585,1.74E-02
586,1.72E-02
587,1.70E-02
588,1.70E-02
589,1.68E-02
590,1.67E-02
591,1.66E-02
592,1.64E-02
593,1.63E-02
594,1.61E-02
595,1.60E-02
596,1.59E-02
597,1.57E-02
598,1.56E-02
599,1.54E-02
600,1.52E-02
601,1.50E-02
602,1.49E-02
603,1.47E-02
604,1.45E-02
605,1.44E-02
606,1.42E-02
607,1.40E-02
608,1.38E-02
609,1.38E-02
610,1.36E-02
611,1.33E-02
612,1.31E-02
613,1.30E-02
614,1.28E-02
615,1.26E-02
616,1.25E-02
617,1.23E-02
618,1.21E-02
619,1.19E-02
620,1.17E-02
621,1.15E-02
622,1.14E-02
623,1.11E-02
624,1.10E-02
625,1.08E-02
626,1.06E-02
627,1.05E-02
628,1.03E-02
629,1.01E-02
630,9.96E-03
631,9.74E-03
632,9.52E-03
633,9.40E-03
634,9.28E-03
635,9.05E-03
636,8.90E-03
637,8.73E-03
638,8.59E-03
639,8.39E-03
640,8.22E-03
641,8.08E-03
642,7.94E-03
643,7.82E-03
644,7.66E-03
645,7.45E-03
646,7.37E-03
647,7.16E-03
648,7.07E-03
649,6.85E-03
650,6.78E-03
651,6.61E-03
652,6.47E-03
653,6.30E-03
654,6.17E-03
655,6.06E-03
656,5.94E-03
657,5.83E-03
658,5.71E-03
659,5.55E-03
660,5.48E-03
661,5.30E-03
662,5.21E-03
663,5.07E-03
664,4.97E-03
665,4.89E-03
666,4.81E-03
667,4.66E-03
668,4.56E-03
669,4.46E-03
670,4.34E-03
671,4.26E-03
672,4.16E-03
673,4.08E-03
674,3.99E-03
675,3.87E-03
676,3.82E-03
677,3.72E-03
678,3.56E-03
679,3.54E-03
680,3.50E-03
681,3.36E-03
682,3.26E-03
683,3.23E-03
684,3.12E-03
685,3.01E-03
686,3.01E-03
687,2.93E-03
688,2.84E-03
689,2.79E-03
690,2.71E-03
691,2.69E-03
692,2.59E-03
693,2.53E-03
694,2.44E-03
695,2.42E-03
696,2.34E-03
697,2.30E-03
698,2.22E-03
699,2.22E-03
700,2.15E-03
701,2.12E-03
702,2.02E-03
703,2.02E-03
704,1.93E-03
705,1.89E-03
706,1.82E-03
707,1.83E-03
708,1.75E-03
709,1.71E-03
710,1.67E-03
711,1.61E-03
712,1.62E-03
713,1.57E-03
714,1.51E-03
715,1.49E-03
716,1.46E-03
717,1.43E-03
718,1.42E-03
719,1.31E-03
720,1.29E-03
721,1.32E-03
722,1.29E-03
723,1.21E-03
724,1.22E-03
725,1.16E-03
726,1.11E-03
727,1.10E-03
728,1.10E-03
729,1.05E-03
730,1.03E-03
731,1.01E-03
732,9.95E-04
733,9.83E-04
734,9.45E-04
735,9.22E-04
736,9.08E-04
737,8.89E-04
738,8.43E-04
739,8.55E-04
740,8.48E-04
741,8.07E-04
742,7.56E-04
743,7.44E-04
744,7.64E-04
745,7.49E-04
746,7.18E-04
747,7.10E-04
748,6.77E-04
749,6.68E-04
750,6.47E-04
